タイムスタンプ,Q1: あなたの学科を教えてください,Q2: あなたの学年を教えてください,Q3: あなたの属性を教えてください,Q4: あなたはアルバイトをしていますか？,"Q4-1: Q4でアルバイトをしていると答えた人にお伺いします。
平日は何曜日にアルバイトしていますか？（複数回答可）",Q5: 直近２週間の平日のおおよその平均睡眠時間を教えてください,Q6:  平日の睡眠時間に満足していますか？,"Q6－1:  Q6で「あまり満足していない」「まったく満足していない」と答えた方にお伺いいたします。
満足する睡眠時間がとれていない原因はなんだと思いますか？
あてはまるものを選んでください。（複数選択可）",Q6－2:   Q6－1で答えたものに、平日1日あたり合計してどのくらいの時間を使っていますか？,Q7:   直近２週間の授業におけるあなたの集中の状態を教えてください,"Q7－1:  Q7で「あまり集中できていない」「まったく集中できていない」と答えた方にお伺いします。
集中できていない理由はなんだと思いますか？（複数選択可）"
5/8/2026 16:04:56,データサイエンス＋AI科,１年生,留学生,はい,4から5回,5時間から6時間,あまり満足していない,"アルバイト, 勉強",５時間以上,あまり集中できていない,"日本語が難しい, 授業の内容が難しい"
5/11/2026 21:03:02,データサイエンス＋AI科,１年生,留学生,はい,金曜日,5時間以下,あまり満足していない,"勉強, Youtube・tiktokなどの動画視聴, ストレスや心配事",５時間以上,あまり集中できていない,"睡眠が足りていない, 疲れている, 日本語が難しい, 授業の内容が難しい, 心配事がある"
5/12/2026 13:35:23,データサイエンス＋AI科,２年生,留学生,はい,"水曜日, 木曜日",5時間から6時間,まったく満足していない,"アルバイト, Youtube・tiktokなどの動画視聴, Instagramなどの上記以外のSNS, 友人・家族・恋人などとのメッセージや電話, ストレスや心配事, 趣味",４から５時間,あまり集中できていない,"睡眠が足りていない, 疲れている, 日本語が難しい, 授業の内容が難しい, 心配事がある"
5/12/2026 14:59:52,データサイエンス＋AI科,２年生,留学生,はい,"火曜日, 水曜日",5時間から6時間,まったく満足していない,"アルバイト, 勉強, Instagramなどの上記以外のSNS, 友人・家族・恋人などとのメッセージや電話, 趣味",５時間以上,集中できている,
5/12/2026 15:19:44,データサイエンス＋AI科,１年生,日本人,いいえ,,5時間以下,まったく満足していない,育児,３から４時間,集中できている,
5/12/2026 15:19:49,データサイエンス＋AI科,１年生,留学生,はい,"木曜日, 金曜日",5時間から6時間,満足している,アルバイト,３から４時間,よく集中できている,疲れている
5/12/2026 15:20:10,データサイエンス＋AI科,１年生,留学生,はい,"月曜日, 火曜日, 水曜日",6時間から7時間,満足している,,,よく集中できている,
5/12/2026 15:21:24,データサイエンス＋AI科,１年生,留学生,はい,"火曜日, 金曜日",5時間から6時間,まったく満足していない,"アルバイト, Youtube・tiktokなどの動画視聴, ストレスや心配事",５時間以上,あまり集中できていない,"睡眠が足りていない, 疲れている, 日本語が難しい, 授業の内容が難しい, 心配事がある, 教室の環境が良くない"
5/12/2026 15:28:38,データサイエンス＋AI科,１年生,日本人,いいえ,,7時間から8時間,あまり満足していない,"勉強, ストレスや心配事",３から４時間,あまり集中できていない,"睡眠が足りていない, 疲れている, 授業の内容が難しい, 教室の環境が良くない"
5/12/2026 15:30:35,データサイエンス＋AI科,１年生,日本人,いいえ,,6時間から7時間,あまり満足していない,"勉強, ゲーム",３から４時間,集中できている,
5/12/2026 16:35:24,データサイエンス＋AI科,１年生,日本人,いいえ,,7時間から8時間,満足している,,,集中できている,
5/12/2026 16:39:12,データサイエンス＋AI科,１年生,日本人,いいえ,,5時間以下,まったく満足していない,今までの生活習慣による慣れ,,あまり集中できていない,"睡眠が足りていない, 授業の内容が難しい"
5/13/2026 7:07:50,データサイエンス＋AI科,１年生,日本人,いいえ,,8時間以上,とても満足している,,,よく集中できている,
5/13/2026 9:20:52,データサイエンス＋AI科,１年生,留学生,はい,"月曜日, 火曜日, 水曜日, 木曜日, 金曜日",5時間以下,あまり満足していない,アルバイト,５時間以上,集中できている,
